Unnamed: 0,match_id,date,innings,batting_team,bowling_team,over,ball,ball_no,batter,bat_pos,runs_batter,balls_faced,bowler,valid_ball,runs_extras,runs_total,runs_bowler,runs_not_boundary,extra_type,non_striker,non_striker_pos,wicket_kind,player_out,fielders,runs_target,review_batter,review_decision,umpires_call,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,superover_winner,result_type,method,stage,team_runs,team_balls,team_wicket,new_batter,batter_runs,batter_balls,bowler_wicket,batting_partners,next_batter,striker_out,phase
41303,1178431,2019-05-05,1,Kolkata Knight Riders,Mumbai Indians,7,4,7.4,CA Lynn,2,1,1,KH Pandya,1,0,1,1,False,None,RV Uthappa,3,None,None,None,0.0,Not Applicable,Not Applicable,False,HH Pandya,Mumbai Indians,9 wickets,Mumbai Indians,field,Wankhede Stadium,Mumbai,5,5,2019,2019,Not Applicable,Unknown,Not Applicable,Unknown,54,46,1,None,41,27,0,"('CA Lynn', 'RV Uthappa')",None,False,Middle Overs
115177,1426271,2024-04-18,2,Punjab Kings,Mumbai Indians,8,3,8.3,Shashank Singh,6,6,1,S Gopal,1,0,6,6,False,None,JM Sharma,7,None,None,None,193.0,Not Applicable,Not Applicable,False,JJ Bumrah,Mumbai Indians,9 runs,Punjab Kings,field,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,18,4,2024,2024,Not Applicable,Unknown,Not Applicable,Unknown,73,51,5,None,33,16,0,"('JM Sharma', 'Shashank Singh')",None,False,Middle Overs
47042,1216510,2020-09-24,2,Royal Challengers Bangalore,Kings XI Punjab,15,2,15.2,Washington Sundar,6,0,1,Ravi Bishnoi,1,0,0,0,False,None,Navdeep Saini,9,caught,Washington Sundar,MA Agarwal,207.0,Not Applicable,Not Applicable,False,KL Rahul,Kings XI Punjab,97 runs,Royal Challengers Bangalore,field,Dubai International Cricket Stadium,Unknown,24,9,2020,2020/21,Not Applicable,Unknown,Not Applicable,Unknown,101,92,8,None,30,27,1,"('Navdeep Saini', 'Washington Sundar')",DW Steyn,True,Middle Overs
267391,981011,2016-05-22,1,Delhi Daredevils,Royal Challengers Bangalore,5,4,5.4,Q de Kock,1,0,1,YS Chahal,1,0,0,0,False,None,SV Samson,4,None,None,None,0.0,Not Applicable,Not Applicable,False,V Kohli,Royal Challengers Bangalore,6 wickets,Royal Challengers Bangalore,field,Shaheed Veer Narayan Singh International Stadium,Raipur,22,5,2016,2016,Not Applicable,Unknown,Not Applicable,Unknown,42,34,2,SV Samson,28,23,0,"('Q de Kock', 'SV Samson')",None,False,Powerplay Overs
228897,729297,2014-04-23,2,Rajasthan Royals,Chennai Super Kings,16,6,16.6,R Bhatia,7,4,1,RA Jadeja,1,0,4,4,False,None,DS Kulkarni,10,None,None,None,141.0,Not Applicable,Not Applicable,False,RA Jadeja,Chennai Super Kings,7 runs,Rajasthan Royals,field,Dubai International Cricket Stadium,Unknown,23,4,2014,2014,Not Applicable,Unknown,Not Applicable,Unknown,107,102,8,None,20,15,0,"('DS Kulkarni', 'R Bhatia')",None,False,Death Overs
274780,1473498,2025-05-18,2,Gujarat Titans,Delhi Capitals,4,6,4.6,Shubman Gill,2,1,1,PVD Chameera,1,0,1,1,False,None,B Sai Sudharsan,1,None,None,None,200.0,Not Applicable,Not Applicable,False,B Sai Sudharsan,Gujarat Titans,10 wickets,Gujarat Titans,field,"Arun Jaitley Stadium, Delhi",Delhi,18,5,2025,2025,Not Applicable,Unknown,Not Applicable,Unknown,52,30,0,None,13,11,0,"('B Sai Sudharsan', 'Shubman Gill')",None,False,Powerplay Overs
118407,1426284,2024-04-28,2,Sunrisers Hyderabad,Chennai Super Kings,13,2,13.2,Abdul Samad,7,1,1,RA Jadeja,1,0,1,1,False,None,H Klaasen,6,None,None,None,213.0,Not Applicable,Not Applicable,False,RD Gaikwad,Chennai Super Kings,78 runs,Sunrisers Hyderabad,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,28,4,2024,2024,Not Applicable,Unknown,Not Applicable,Unknown,103,80,5,None,10,10,0,"('Abdul Samad', 'H Klaasen')",None,False,Middle Overs
53182,1216536,2020-10-29,1,Kolkata Knight Riders,Chennai Super Kings,12,1,12.1,N Rana,2,1,1,RA Jadeja,1,0,1,1,False,None,RK Singh,4,None,None,None,0.0,Not Applicable,Not Applicable,False,RD Gaikwad,Chennai Super Kings,6 wickets,Chennai Super Kings,field,Dubai International Cricket Stadium,Unknown,29,10,2020,2020/21,Not Applicable,Unknown,Not Applicable,Unknown,87,73,2,None,48,41,0,"('N Rana', 'RK Singh')",None,False,Middle Overs
230553,729313,2014-04-28,1,Royal Challengers Bangalore,Kings XI Punjab,3,6,3.6,Yuvraj Singh,6,0,1,Sandeep Sharma,1,0,0,0,False,None,AB de Villiers,5,None,None,None,0.0,Not Applicable,Not Applicable,False,Sandeep Sharma,Kings XI Punjab,5 wickets,Kings XI Punjab,field,Dubai International Cricket Stadium,Unknown,28,4,2014,2014,Not Applicable,Unknown,Not Applicable,Unknown,26,24,4,Yuvraj Singh,0,1,0,"('AB de Villiers', 'Yuvraj Singh')",None,False,Powerplay Overs
237791,734025,2014-05-21,1,Kings XI Punjab,Mumbai Indians,6,1,6.1,M Vohra,2,2,1,S Gopal,1,0,2,2,False,None,SE Marsh,3,None,None,None,0.0,Not Applicable,Not Applicable,False,LMP Simmons,Mumbai Indians,7 wickets,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,21,5,2014,2014,Not Applicable,Unknown,Not Applicable,Unknown,50,37,1,None,25,20,0,"('M Vohra', 'SE Marsh')",None,False,Powerplay Overs
243329,829725,2015-04-15,1,Kings XI Punjab,Delhi Daredevils,9,2,9.2,V Sehwag,2,1,1,A Mishra,1,0,1,1,False,None,WP Saha,3,None,None,None,0.0,Not Applicable,Not Applicable,False,MA Agarwal,Delhi Daredevils,5 wickets,Kings XI Punjab,bat,Maharashtra Cricket Association Stadium,Pune,15,4,2015,2015,Not Applicable,Unknown,Not Applicable,Unknown,71,56,1,None,32,26,0,"('V Sehwag', 'WP Saha')",None,False,Middle Overs
167628,419141,2010-04-05,1,Rajasthan Royals,Deccan Chargers,8,6,8.6,SR Watson,4,2,1,RJ Harris,1,0,2,2,False,None,FY Fazal,3,None,None,None,0.0,Not Applicable,Not Applicable,False,SK Warne,Rajasthan Royals,2 runs,Rajasthan Royals,bat,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,5,4,2010,2009/10,Not Applicable,Unknown,Not Applicable,Unknown,75,54,2,None,33,20,0,"('FY Fazal', 'SR Watson')",None,False,Middle Overs
