Unnamed: 0,match_id,date,match_type,event_name,innings,batting_team,bowling_team,over,ball,ball_no,batter,bat_pos,runs_batter,balls_faced,bowler,valid_ball,runs_extras,runs_total,runs_bowler,runs_not_boundary,extra_type,non_striker,non_striker_pos,wicket_kind,player_out,fielders,runs_target,review_batter,team_reviewed,review_decision,umpire,umpires_call,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,gender,team_type,superover_winner,result_type,method,balls_per_over,overs,event_match_no,stage,match_number,team_runs,team_balls,team_wicket,new_batter,batter_runs,batter_balls,bowler_wicket,batting_partners,next_batter,striker_out
27431,1136618,2018-05-23,T20,Indian Premier League,1,Kolkata Knight Riders,Rajasthan Royals,2,2,2.2,N Rana,4,1,1,K Gowtham,1,0,1,1,False,,CA Lynn,2,,,,,,,,,False,AD Russell,Kolkata Knight Riders,25 runs,Rajasthan Royals,field,Eden Gardens,Kolkata,23,5,2018,2018,male,club,,,,6,20,Unknown,Eliminator,Unknown,18,14,2,N Rana,1,1,0,"('CA Lynn', 'N Rana')",,False
174737,501203,2011-04-11,T20,Indian Premier League,1,Kolkata Knight Riders,Deccan Chargers,3,6,3.6,JH Kallis,1,1,1,I Sharma,1,0,1,1,False,,MS Bisla,2,,,,,,,,,False,JH Kallis,Kolkata Knight Riders,9 runs,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,11,4,2011,2011,male,club,,,,6,20,6,Unknown,Unknown,26,24,0,,19,16,0,"('JH Kallis', 'MS Bisla')",,False
225830,598071,2013-05-22,T20,Indian Premier League,1,Sunrisers Hyderabad,Rajasthan Royals,8,3,8.3,CL White,4,0,1,SK Trivedi,1,0,0,0,False,,S Dhawan,2,,,,,,,,,False,BJ Hodge,Rajasthan Royals,4 wickets,Sunrisers Hyderabad,bat,Feroz Shah Kotla,Delhi,22,5,2013,2013,male,club,,,,6,20,Unknown,Eliminator,Unknown,39,51,2,,20,18,0,"('CL White', 'S Dhawan')",,False
14769,1136564,2018-04-09,T20,Indian Premier League,2,Sunrisers Hyderabad,Rajasthan Royals,8,3,8.3,KS Williamson,3,0,1,S Gopal,1,0,0,0,False,,S Dhawan,2,,,,126.0,,,,,False,S Dhawan,Sunrisers Hyderabad,9 wickets,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,9,4,2018,2018,male,club,,,,6,20,4,Unknown,Unknown,77,51,1,,20,16,0,"('KS Williamson', 'S Dhawan')",,False
51409,1216528,2020-10-13,T20,Indian Premier League,2,Sunrisers Hyderabad,Chennai Super Kings,15,4,15.4,KS Williamson,4,2,1,PP Chawla,1,0,2,2,False,,V Shankar,6,,,,168.0,,,,,False,RA Jadeja,Chennai Super Kings,20 runs,Chennai Super Kings,bat,Dubai International Cricket Stadium,Unknown,13,10,2020,2020/21,male,club,,,,6,20,29,Unknown,Unknown,107,94,4,,46,33,0,"('KS Williamson', 'V Shankar')",,False
143522,336032,2008-05-24,T20,Indian Premier League,2,Delhi Daredevils,Mumbai Indians,18,6,18.6,KD Karthik,6,0,1,A Nel,1,0,0,0,False,,MF Maharoof,7,,,,177.0,,,,,False,KD Karthik,Delhi Daredevils,5 wickets,Delhi Daredevils,field,Feroz Shah Kotla,Delhi,24,5,2008,2007/08,male,club,,,,6,20,50,Unknown,Unknown,169,114,5,,55,31,0,"('KD Karthik', 'MF Maharoof')",,False
50612,1216525,2020-10-10,T20,Indian Premier League,2,Chennai Super Kings,Royal Challengers Bangalore,3,6,3.6,F du Plessis,2,0,1,Washington Sundar,1,0,0,0,False,,SR Watson,1,caught,F du Plessis,CH Morris,170.0,,,,,False,V Kohli,Royal Challengers Bangalore,37 runs,Royal Challengers Bangalore,bat,Dubai International Cricket Stadium,Unknown,10,10,2020,2020/21,male,club,,,,6,20,25,Unknown,Unknown,19,24,1,,8,10,1,"('F du Plessis', 'SR Watson')",AT Rayudu,True
224552,598065,2013-05-17,T20,Indian Premier League,1,Sunrisers Hyderabad,Rajasthan Royals,13,3,13.3,DJG Sammy,6,2,1,KK Cooper,1,0,2,2,False,,BB Samantray,5,,,,,,,,,False,A Mishra,Sunrisers Hyderabad,23 runs,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,17,5,2013,2013,male,club,,,,6,20,68,Unknown,Unknown,76,81,4,,12,11,0,"('BB Samantray', 'DJG Sammy')",,False
136528,336001,2008-05-02,T20,Indian Premier League,1,Chennai Super Kings,Delhi Daredevils,7,2,7.2,S Vidyut,3,4,1,Shoaib Malik,1,0,4,4,False,,PA Patel,1,,,,,,,,,False,V Sehwag,Delhi Daredevils,8 wickets,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,2,5,2008,2007/08,male,club,,,,6,20,20,Unknown,Unknown,61,44,1,,22,15,0,"('PA Patel', 'S Vidyut')",,False
72018,1304049,2022-03-27,T20,Indian Premier League,1,Royal Challengers Bangalore,Punjab Kings,15,2,15.2,V Kohli,3,1,1,Arshdeep Singh,1,0,1,1,False,,F du Plessis,1,,,,,,,,,False,OF Smith,Punjab Kings,5 wickets,Punjab Kings,field,"Dr DY Patil Sports Academy, Mumbai",Mumbai,27,3,2022,2022,male,club,,,,6,20,3,Unknown,Unknown,144,92,1,,33,22,0,"('F du Plessis', 'V Kohli')",,False
